,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,pop
26,0.191208168,0.1758687,0.170897155,0.162426682,0.139404396,0.13922108,0.136286511,0.148225247,0.131923774,0.128905171,0.136909181,0.138182455,0.120589084,0.128001076,0.127385115,0.118874743,0.120152392,0.12464212,0.122953874,0.117735729,0.118143342,0.120243777,0.112299439,0.113723183,0.115258969,0.111340414,AP
27,0.160781419,0.172368906,0.188225375,0.173185651,0.148912934,0.146541769,0.139000808,0.132514616,0.136717852,0.127056951,0.139166676,0.132541461,0.124191905,0.126290169,0.123948068,0.118816578,0.117926114,0.123719653,0.123698722,0.117965436,0.120109321,0.118360802,0.112186251,0.114216066,0.112782892,0.111606939,AP
28,0.19191779,0.165806534,0.173147264,0.158111682,0.126185599,0.13979611,0.133863856,0.147363602,0.121992426,0.127958361,0.137694433,0.135144514,0.122247899,0.131099428,0.13061658,0.116513632,0.123724077,0.124147338,0.121088949,0.116437841,0.11644583,0.118624958,0.113871937,0.115134965,0.114723519,0.111624014,AP
29,0.190327274,0.188639907,0.17138704,0.158002119,0.137180379,0.142477752,0.135019231,0.139321336,0.133753424,0.129482666,0.132704647,0.132061474,0.118409925,0.125760609,0.125002552,0.120729257,0.11945615,0.125420939,0.122949404,0.114033109,0.118521178,0.116393184,0.111019767,0.11479445,0.114458861,0.111746766,AP
30,0.176135601,0.184669183,0.167666625,0.175629512,0.145358601,0.144874993,0.129098583,0.131228582,0.135840394,0.127995287,0.138373365,0.128680224,0.12140495,0.122502187,0.121928554,0.120083557,0.119140308,0.128544152,0.126015094,0.115056533,0.119670351,0.11368116,0.108744749,0.114949335,0.110241293,0.1138924,AP
31,0.197280666,0.186543539,0.166847596,0.169177766,0.142153878,0.14025602,0.132725523,0.140341669,0.136683718,0.12936299,0.133206234,0.13035782,0.118302342,0.123118622,0.123804831,0.121070392,0.117610736,0.126770593,0.123790055,0.113023083,0.118468414,0.117328753,0.110392431,0.114941998,0.1140668,0.11130876,AP
32,0.159495945,0.170170916,0.167734914,0.164759935,0.121914322,0.139460821,0.13586971,0.149134225,0.119225975,0.129637887,0.136616665,0.132594387,0.121163187,0.131109329,0.130775754,0.113557414,0.122515055,0.123567003,0.121281559,0.115049284,0.118001738,0.119554142,0.114408411,0.112943435,0.116028275,0.109729712,AP
33,0.182174819,0.185755729,0.169371092,0.158570712,0.140099569,0.145944381,0.137051497,0.136412485,0.133155608,0.127810798,0.134192319,0.133326681,0.118606291,0.127486234,0.125606288,0.119083514,0.119082571,0.125230849,0.122589481,0.115391615,0.118601456,0.11788062,0.111604088,0.115542409,0.113456649,0.112574182,AP
34,0.218087451,0.173194951,0.157220477,0.165266858,0.130511858,0.138187564,0.136659753,0.145760404,0.125468688,0.130084686,0.132117082,0.134625747,0.120050939,0.127842637,0.12844435,0.117149249,0.122046747,0.124585361,0.121840194,0.114417038,0.11631664,0.117086653,0.113478942,0.115430632,0.114943384,0.112224305,AP
35,0.218087451,0.173194951,0.157220477,0.165266858,0.130511858,0.138187564,0.136659753,0.145760404,0.125468688,0.130084686,0.132117082,0.134625747,0.120050939,0.127842637,0.12844435,0.117149249,0.122046747,0.124585361,0.121840194,0.114417038,0.11631664,0.117086653,0.113478942,0.115430632,0.114943384,0.112224305,AP
36,0.208774927,0.179296835,0.173930581,0.174011444,0.141028442,0.14738532,0.136345824,0.134163862,0.13590841,0.129217206,0.138900606,0.130904877,0.121067555,0.123357193,0.122484586,0.119126272,0.117797845,0.127261188,0.126224013,0.116283318,0.121497769,0.116980339,0.109247121,0.114160948,0.111646665,0.112427519,AP
37,0.177809122,0.18348431,0.170645533,0.171923755,0.13736036,0.139102129,0.135762852,0.136210328,0.133990104,0.132101019,0.136891447,0.12917342,0.120595328,0.124732479,0.125585598,0.121084516,0.120173285,0.125260987,0.124840164,0.114595505,0.11775857,0.116684038,0.111504689,0.115736907,0.113070995,0.113995107,AP
38,0.212430046,0.188263739,0.165461935,0.176790189,0.139334584,0.142828945,0.132441446,0.140302344,0.134484824,0.130527158,0.13487336,0.131342479,0.12029633,0.127259216,0.124926212,0.121969386,0.122022418,0.125230037,0.124326186,0.115511743,0.116778925,0.115827231,0.110906411,0.117354133,0.113775144,0.114194985,AP
39,0.19699833,0.186808701,0.175229184,0.178946791,0.144064477,0.154303171,0.140693166,0.131154518,0.13378585,0.124019514,0.139782844,0.131670711,0.125345371,0.124348374,0.121855275,0.115842433,0.116235544,0.123006899,0.124425884,0.118274528,0.121302858,0.118996668,0.110891202,0.112133108,0.112303376,0.10922897,AP
40,0.166448695,0.19263773,0.164834832,0.168774007,0.133181162,0.143360152,0.134681712,0.139991474,0.130587674,0.133172984,0.137014274,0.130193767,0.119524205,0.127095636,0.125939145,0.119589869,0.119675984,0.128103025,0.124347782,0.114524839,0.118278872,0.116745697,0.111198212,0.11554732,0.114810513,0.113052428,AP
41,0.150896839,0.177855137,0.188097871,0.170373454,0.148345014,0.15647337,0.147647492,0.132915029,0.130672888,0.122418841,0.139189333,0.132952414,0.124221523,0.129609199,0.125044456,0.116662028,0.119215125,0.12252454,0.123431949,0.116636397,0.120024903,0.118528116,0.112373156,0.114076838,0.113772476,0.11040344,AP
42,0.177884856,0.192740164,0.174721545,0.176127427,0.139316341,0.145590803,0.131947327,0.140323031,0.138267127,0.132908433,0.135917253,0.129161442,0.117233373,0.126888774,0.129163979,0.125630726,0.122660391,0.129470835,0.123584432,0.112200204,0.117851484,0.1173791,0.113226619,0.11842658,0.115673133,0.113303322,AP
